"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"C=CC(O)=Nc1ccccc1Nc1cc(N(CCCN2CCN(C)CC2)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,1020.0,"IC50"
"C=CC(O)=Nc1ccccc1Nc1cc(N(CCNC(C)C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,6210.0,"IC50"
"C=CC(O)=Nc1ccccc1Nc1cc(N(Cc2cccnc2)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,720.0,"IC50"
"C=CC(O)=Nc1ccccc1Nc1cc(N(Cc2ccncc2)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1",1,495.0,"IC50"
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0,,
"C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCCCCCCCCCCCC",0,,
"C=CCN(c1cc(F)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1",1,2065.015,"IC50, IC50"
"C=CCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1",1,366.01300000000003,"IC50, IC50"
"C=CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl",1,35.0,"IC50"
"C=CCNc1ncc(Br)c(Nc2cc(C)[nH]n2)n1",1,1896.6200000000001,"IC50, IC50"
"C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl",0,,
"C=CCOC(=O)c1c2c3ccc(SCC=C)c4cccc(c-2nc1=O)c43",1,216.0,"IC50"
"C=CCOC(=O)c1ccccc1C(=O)OCC=C",0,,
"C=CCOc1ccc2c(c1)ncn2-c1ccccc1",0,35000.0,"IC50"
